flat_tkn;residents_avg_count
1;2
2;2
3;1
4;2
13;1
14;1
15;3
16;3
17;4
18;3
19;1
20;2
21;1
22;1
23;2
24;1
26;3
27;1
29;1
30;3
32;1
33;2
34;3
36;2
39;1
126;1
128;3
141;1
165;1
166;2
167;1
168;1
169;1
170;2
171;2
172;2
173;3
174;6
175;5
176;1
177;1
178;1
179;3
180;2
181;4
182;3
183;3
184;1
185;2
186;3
187;1
188;5
189;1
190;1
191;1
192;3
193;3
194;1
195;1
196;1
197;1
198;1
200;1
201;5
202;1
203;2
204;1
205;2
206;4
207;2
208;3
209;1
210;1
211;2
212;1
213;1
214;2
215;2
216;2
217;0
218;1
220;2
221;1
222;1
223;1
224;5
225;1
226;1
227;1
228;1
229;3
230;5
231;1
232;3
233;2
234;3
235;1
236;0
237;4
238;1
239;1
240;5
241;1
242;1
243;4
244;6
245;2
246;1
247;1
248;1
249;2
250;0
252;2
253;2
254;3
255;3
256;2
257;3
258;2
259;2
260;2
261;4
262;6
263;4
264;3
265;2
266;1
267;1
268;4
269;2
270;2
271;1
272;4
273;4
274;2
275;1
276;1
277;2
278;4
279;1
280;1
281;1
282;1
283;3
284;1
285;0
286;2
287;1
288;2
289;1
290;2
291;2
292;3
293;2
294;1
295;2
296;1
297;7
298;3
299;5
300;1
301;2
302;2
303;1
304;2
305;1
306;2
307;2
308;2
309;1
310;2
311;1
312;3
313;3
314;2
315;3
316;2
317;1
318;1
319;3
320;1
321;3
322;4
323;2
324;5
325;1
326;1
327;1
328;2
329;4
330;1
331;1
332;2
333;1
334;1
335;2
336;1
337;1
338;2
339;3
340;3
341;1
342;3
343;1
344;7
345;4
346;1
347;3
348;5
349;2
350;1
351;1
352;2
353;2
354;1
355;2
356;5
357;1
358;1
359;2
360;1
361;1
362;1
363;2
364;3
365;2
366;3
367;1
368;1
369;4
370;1
371;2
372;3
373;2
374;1
375;2
376;2
377;4
378;1
379;2
380;2
381;2
382;3
383;2
384;2
385;2
386;2
387;1
388;1
389;2
390;3
391;2
392;2
393;4
394;2
395;2
396;2
397;2
398;1
399;1
400;0
401;1
402;2
403;2
404;1
405;1
